"No.","Time","Source","Destination","Protocol","Length","Info"
"91","0.376775","2.4.2","host","USB","36","URB_INTERRUPT in"
"92","0.376797","host","2.4.2","USB","27","URB_INTERRUPT in"
"93","0.384776","2.4.2","host","USB","36","URB_INTERRUPT in"
"94","0.384851","host","2.4.2","USB","27","URB_INTERRUPT in"
"95","0.391775","2.4.2","host","USB","36","URB_INTERRUPT in"
"96","0.391796","host","2.4.2","USB","27","URB_INTERRUPT in"
"97","0.399784","2.4.2","host","USB","36","URB_INTERRUPT in"
"98","0.399801","host","2.4.2","USB","27","URB_INTERRUPT in"
"99","0.421777","2.4.2","host","USB","36","URB_INTERRUPT in"
"100","0.421796","host","2.4.2","USB","27","URB_INTERRUPT in"
"101","0.444774","2.4.2","host","USB","36","URB_INTERRUPT in"
"102","0.444792","host","2.4.2","USB","27","URB_INTERRUPT in"
"103","0.489780","2.4.2","host","USB","36","URB_INTERRUPT in"
"104","0.489808","host","2.4.2","USB","27","URB_INTERRUPT in"
"105","0.534779","2.4.2","host","USB","36","URB_INTERRUPT in"
"106","0.534812","host","2.4.2","USB","27","URB_INTERRUPT in"
"107","0.541774","2.4.2","host","USB","36","URB_INTERRUPT in"
"108","0.541799","host","2.4.2","USB","27","URB_INTERRUPT in"
"109","0.549774","2.4.2","host","USB","36","URB_INTERRUPT in"
"110","0.549792","host","2.4.2","USB","27","URB_INTERRUPT in"
"111","0.556774","2.4.2","host","USB","36","URB_INTERRUPT in"
"112","0.556797","host","2.4.2","USB","27","URB_INTERRUPT in"
"113","0.564777","2.4.2","host","USB","36","URB_INTERRUPT in"
"114","0.564799","host","2.4.2","USB","27","URB_INTERRUPT in"
"115","9.720672","2.1.1","host","USB","28","URB_INTERRUPT in"
"116","9.722054","host","2.1.1","USB","27","URB_INTERRUPT in"
"117","9.836664","2.1.1","host","USB","28","URB_INTERRUPT in"
"118","9.838169","host","2.1.1","USB","27","URB_INTERRUPT in"
"119","9.890730","host","2.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"120","9.890904","2.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"121","9.890922","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"122","9.891277","2.2.0","host","USB","37","GET DESCRIPTOR Response CONFIGURATION"
"123","9.891296","host","2.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"124","9.891658","2.2.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION"
"125","9.891677","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"126","9.892031","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING[Malformed Packet]"
"127","9.892049","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"128","9.892406","2.2.0","host","USB","32","GET DESCRIPTOR Response STRING"
"129","9.892427","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"130","9.892778","2.2.0","host","USB","30","GET DESCRIPTOR Response STRING"
"131","9.892797","host","2.2.0","USB","36","GET DESCRIPTOR Request STRING"
"132","9.893152","2.2.0","host","USB","54","GET DESCRIPTOR Response STRING"
"133","9.894576","host","2.2.0","USB","36","SET CONFIGURATION Request"
"134","9.895029","2.2.0","host","USB","28","SET CONFIGURATION Response"
"135","9.895043","host","2.2.0","USB","36","SET INTERFACE Request"
"136","9.895162","2.2.0","host","USB","28","SET INTERFACE Response"
"137","9.895166","host","2.2.0","USBMS","36","GET MAX LUN Request"
"138","9.895406","2.2.0","host","USBMS","29","GET MAX LUN Response"
"139","9.895428","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"140","9.895454","2.2.2","host","USB","27","URB_BULK out"
"141","9.895455","host","2.2.1","USB","27","URB_BULK in"
"142","10.896077","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"143","10.896094","host","2.2.1","USB","27","URB_BULK in"
"144","10.896143","2.2.1","host","USBMS","40",""
"145","10.896186","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00 "
"146","10.896207","2.2.2","host","USB","27","URB_BULK out"
"147","10.896208","host","2.2.1","USB","27","URB_BULK in"
"148","10.914646","2.4.2","host","USB","36","URB_INTERRUPT in"
"149","10.914670","host","2.4.2","USB","27","URB_INTERRUPT in"
"150","10.921644","2.4.2","host","USB","36","URB_INTERRUPT in"
"151","10.921666","host","2.4.2","USB","27","URB_INTERRUPT in"
"152","10.929643","2.4.2","host","USB","36","URB_INTERRUPT in"
"153","10.929659","host","2.4.2","USB","27","URB_INTERRUPT in"
"154","10.936647","2.4.2","host","USB","36","URB_INTERRUPT in"
"155","10.936666","host","2.4.2","USB","27","URB_INTERRUPT in"
"156","10.944644","2.4.2","host","USB","36","URB_INTERRUPT in"
"157","10.944660","host","2.4.2","USB","27","URB_INTERRUPT in"
"158","10.951645","2.4.2","host","USB","36","URB_INTERRUPT in"
"159","10.951665","host","2.4.2","USB","27","URB_INTERRUPT in"
"160","10.959647","2.4.2","host","USB","36","URB_INTERRUPT in"
"161","10.959667","host","2.4.2","USB","27","URB_INTERRUPT in"
"162","10.966646","2.4.2","host","USB","36","URB_INTERRUPT in"
"163","10.966663","host","2.4.2","USB","27","URB_INTERRUPT in"
"164","10.974643","2.4.2","host","USB","36","URB_INTERRUPT in"
"165","10.974662","host","2.4.2","USB","27","URB_INTERRUPT in"
"166","10.981647","2.4.2","host","USB","36","URB_INTERRUPT in"
"167","10.981667","host","2.4.2","USB","27","URB_INTERRUPT in"
"168","10.989643","2.4.2","host","USB","36","URB_INTERRUPT in"
"169","10.989660","host","2.4.2","USB","27","URB_INTERRUPT in"
"170","10.996654","2.4.2","host","USB","36","URB_INTERRUPT in"
"171","10.996691","host","2.4.2","USB","27","URB_INTERRUPT in"
"172","11.004647","2.4.2","host","USB","36","URB_INTERRUPT in"
"173","11.004674","host","2.4.2","USB","27","URB_INTERRUPT in"
"174","11.011648","2.4.2","host","USB","36","URB_INTERRUPT in"
"175","11.011675","host","2.4.2","USB","27","URB_INTERRUPT in"
"176","11.019646","2.4.2","host","USB","36","URB_INTERRUPT in"
"177","11.019672","host","2.4.2","USB","27","URB_INTERRUPT in"
"178","11.026648","2.4.2","host","USB","36","URB_INTERRUPT in"
"179","11.026672","host","2.4.2","USB","27","URB_INTERRUPT in"
"180","11.034646","2.4.2","host","USB","36","URB_INTERRUPT in"
"181","11.034674","host","2.4.2","USB","27","URB_INTERRUPT in"
"182","11.041669","2.4.2","host","USB","36","URB_INTERRUPT in"
"183","11.041901","host","2.4.2","USB","27","URB_INTERRUPT in"
"184","11.049646","2.4.2","host","USB","36","URB_INTERRUPT in"
"185","11.049666","host","2.4.2","USB","27","URB_INTERRUPT in"
"186","11.056646","2.4.2","host","USB","36","URB_INTERRUPT in"
"187","11.056667","host","2.4.2","USB","27","URB_INTERRUPT in"
"188","11.064653","2.4.2","host","USB","36","URB_INTERRUPT in"
"189","11.064674","host","2.4.2","USB","27","URB_INTERRUPT in"
"190","11.071651","2.4.2","host","USB","36","URB_INTERRUPT in"
"191","11.071671","host","2.4.2","USB","27","URB_INTERRUPT in"
"192","11.079645","2.4.2","host","USB","36","URB_INTERRUPT in"
"193","11.079664","host","2.4.2","USB","27","URB_INTERRUPT in"
"194","11.086641","2.4.2","host","USB","36","URB_INTERRUPT in"
"195","11.086658","host","2.4.2","USB","27","URB_INTERRUPT in"
"196","11.094644","2.4.2","host","USB","36","URB_INTERRUPT in"
"197","11.094661","host","2.4.2","USB","27","URB_INTERRUPT in"
"198","11.101642","2.4.2","host","USB","36","URB_INTERRUPT in"
"199","11.101661","host","2.4.2","USB","27","URB_INTERRUPT in"
"200","11.109647","2.4.2","host","USB","36","URB_INTERRUPT in"
"201","11.109667","host","2.4.2","USB","27","URB_INTERRUPT in"
